model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
sehalonet33ts,13691712,25.435111424,5.425332224,0.221007872,4.778592768,0.008414936615,1.274862897219,5.383632659912109,0,0.5059840425531915,2.714482522010804,0.9644396551724138,0.5851063829787234,0.582779255319149,0.6462765957446809,0.617686170212766,0.6063829787234043,0.6309840425531915,0.6220079787234043,0.6293218085106383,0.635970744680851,0
sebotnet33ts_256,13701984,25.435111424,6.757023744,0.223842816,5.29356032,0.00907700655,1.375166492373,5.8487324714660645,0,0.4953457446808511,3.012133479118347,0.6247605363984675,0.4720744680851064,0.5033244680851063,0.4867021276595745,0.4757313829787234,0.4823803191489361,0.5189494680851063,0.4707446808510638,0.4714095744680851,0.4537898936170212,0
densenet169,14149480,25.435111424,7.358906368,0.220355072,6.875163136,0.010655500183,1.577014027136,6.957201719284058,0,0.5096409574468085,3.374018859863281,0.9740181992337164,0.5874335106382979,0.6466090425531915,0.6107047872340425,0.6293218085106383,0.6083776595744681,0.628656914893617,0.6299867021276596,0.6303191489361702,0.6210106382978723,0
maxvit_nano_rw_256,15451148,25.435111424,9.42669824,0.263350272,8.417714176,0.014293263457,2.115402991612,9.35622787475586,0,0.4770611702127659,4.9122251749038695,0.8485392720306514,0.551529255319149,0.5016622340425532,0.4813829787234042,0.4976728723404255,0.4757313829787234,0.5857712765957447,0.5987367021276596,0.574468085106383,0.6160239361702128,0
gcresnext50ts,15667320,25.435111424,6.740246528,0.238752256,6.056351744,0.011448317886,1.69435104713,7.311050653457642,0,0.5289228723404256,4.0536078929901125,0.9913793103448276,0.526595744680851,0.605718085106383,0.5784574468085106,0.5678191489361702,0.551529255319149,0.5801196808510638,0.5920877659574468,0.5960771276595744,0.6023936170212766,0
dla34,15742104,25.435111424,2.952790016,0.250120704,2.2739072,0.005329801166,0.788810572567,3.51630973815918,0,0.5,1.6984598636627195,0.9676724137931034,0.4863696808510638,0.5219414893617021,0.5415558510638298,0.5804521276595744,0.5754654255319149,0.5625,0.5488696808510638,0.5615026595744681,0.5681515957446809,0
ecaresnet26t,16011916,25.435111424,3.833593856,0.24851712,3.374299136,0.028386755712,2.583194769767,3.9162769317626953,0,0.5508643617021277,1.916357159614563,0.988146551724138,0.5492021276595744,0.5920877659574468,0.5844414893617021,0.590093085106383,0.5711436170212766,0.6090425531914894,0.5997340425531915,0.5990691489361702,0.6200132978723404,0
ecaresnet26t,16011916,25.435111424,3.833593856,0.24851712,3.374299136,0.028386755712,2.583194769767,3.916476011276245,0,0.5508643617021277,1.917091727256775,0.988146551724138,0.5492021276595744,0.5920877659574468,0.5844414893617021,0.590093085106383,0.5711436170212766,0.6090425531914894,0.5997340425531915,0.5990691489361702,0.6200132978723404,0
ecaresnet26t,16011916,25.435111424,3.833593856,0.24851712,3.374299136,0.028386755712,2.583194769767,3.932480812072754,0,0.5508643617021277,1.922277355194092,0.988146551724138,0.5492021276595744,0.5920877659574468,0.5844414893617021,0.590093085106383,0.5711436170212766,0.6090425531914894,0.5997340425531915,0.5990691489361702,0.6200132978723404,0
resnet26d,16014408,25.435111424,3.351248896,0.24670464,2.937714176,0.02526583981,2.299191422682,3.5154054164886475,0,0.5641622340425532,1.7500664949417115,0.962763409961686,0.5861037234042553,0.5638297872340425,0.6110372340425532,0.6366356382978723,0.605718085106383,0.6259973404255319,0.629654255319149,0.6519281914893617,0.6053856382978723,0
maxxvit_rmlp_nano_rw_256,16779628,25.435111424,6.675234816,0.284667904,5.648976896,0.064362814857,5.696109114866,9.425758123397827,0,0.476063829787234,4.735821533203125,0.5326867816091954,0.4763962765957447,0.4770611702127659,0.5232712765957447,0.4763962765957447,0.4767287234042553,0.5252659574468085,0.4770611702127659,0.4767287234042553,0.5232712765957447,0
seresnext26t_32x4d,16806976,25.435111424,4.745854976,0.262693376,4.107323392,0.035686602086,3.104734381503,4.822927713394165,0,0.5445478723404256,2.3091323375701904,0.9600095785440612,0.5319148936170213,0.5126329787234043,0.5724734042553191,0.5794547872340425,0.5917553191489362,0.5791223404255319,0.5821143617021277,0.6336436170212766,0.613031914893617,0
seresnext26d_32x4d,16809512,25.435111424,4.779409408,0.260372992,4.141955584,0.035567130624,2.863154015204,4.850155353546143,0,0.5319148936170213,2.321206474304199,0.9709051724137931,0.598404255319149,0.5472074468085106,0.6126994680851063,0.6223404255319149,0.6160239361702128,0.6306515957446809,0.5794547872340425,0.6180186170212766,0.6346409574468085,0
dla60x,17352344,25.435111424,6.798966784,0.265173504,5.563167232,0.050303661102,3.823078243732,6.665869951248169,0,0.5249335106382979,3.0297924041748048,0.9978448275862069,0.5006648936170213,0.5159574468085106,0.5405585106382979,0.5352393617021277,0.5388962765957447,0.534906914893617,0.5558510638297872,0.5408909574468085,0.5455452127659575,0
resnet32ts,17963616,25.435111424,4.888461312,0.289644032,4.270149632,0.030365900481,2.231893685371,4.279052734375,0,0.5335771276595744,2.099853205680847,0.9956896551724138,0.5648271276595744,0.5821143617021277,0.5980718085106383,0.5917553191489362,0.6240026595744681,0.5821143617021277,0.6392952127659575,0.6240026595744681,0.6446143617021277,0
edgenext_base,18511292,25.435111424,4.777312256,0.31686656,4.31880192,0.051753983464,3.803917784622,7.0021138191223145,0,0.5495345744680851,3.25377733707428,0.9838362068965516,0.6419547872340425,0.6565824468085106,0.6688829787234043,0.6482712765957447,0.6153590425531915,0.6392952127659575,0.682845744680851,0.6329787234042553,0.6665558510638298,0
eca_resnet33ts,19676302,25.435111424,5.062524928,0.323004416,4.492609024,0.032813813847,2.493849852395,4.502840042114258,0,0.5472074468085106,2.200071144104004,0.9913793103448276,0.6146941489361702,0.5944148936170213,0.6030585106382979,0.5994015957446809,0.6090425531914894,0.5794547872340425,0.5851063829787234,0.6336436170212766,0.6329787234042553,0
seresnet33ts,19779200,25.435111424,5.135925248,0.325371904,4.489670144,0.032873812731,2.498409767527,4.532238960266113,0,0.570811170212766,2.215156245231628,0.9843151340996168,0.6329787234042553,0.6146941489361702,0.6240026595744681,0.6339760638297872,0.652593085106383,0.6456117021276596,0.6615691489361702,0.6379654255319149,0.6279920212765957,0
gcresnet33ts,19880698,25.435111424,5.161091072,0.325801984,4.49191168,0.033145257305,2.485894297884,4.583510637283325,0,0.5322473404255319,2.239060974121094,0.990301724137931,0.616688829787234,0.6107047872340425,0.6000664893617021,0.6432845744680851,0.6246675531914894,0.6206781914893617,0.6033909574468085,0.6073803191489362,0.6013962765957447,0
densenet201,20013928,25.435111424,9.256828928,0.310030848,8.852406784,0.061306603553,4.59799526646,8.88529920578003,0,0.5764627659574468,4.3556512832641605,0.961206896551724,0.5408909574468085,0.6329787234042553,0.5917553191489362,0.6230053191489362,0.6376329787234043,0.5714760638297872,0.6366356382978723,0.6343085106382979,0.6466090425531915,0
cspresnext50,20569896,25.435111424,5.580521472,0.321042944,5.182861824,0.038408323152,2.957440882683,5.3604736328125,0,0.488031914893617,2.6213320016860964,0.9967672413793104,0.5106382978723404,0.598404255319149,0.5990691489361702,0.609375,0.609375,0.6110372340425532,0.6136968085106383,0.6043882978723404,0.6279920212765957,0
cspresnext50,20569896,25.435111424,5.580521472,0.321042944,5.182861824,0.038408323152,2.957440882683,5.358197212219238,0,0.488031914893617,2.617879056930542,0.9967672413793104,0.5106382978723404,0.598404255319149,0.5990691489361702,0.609375,0.609375,0.6110372340425532,0.6136968085106383,0.6043882978723404,0.6279920212765957,0
regnetv_040,20640640,25.435111424,7.226785792,0.340829184,6.699993088,0.044023987265,3.47789499397,6.121101140975952,0,0.5176196808510638,2.9497370958328246,0.9698275862068966,0.5804521276595744,0.6153590425531915,0.5987367021276596,0.6186835106382979,0.6113696808510638,0.6303191489361702,0.6123670212765957,0.632313829787234,0.6678856382978723,0
convmixer_768_32,21110248,25.435111424,17.408458752,0.345020928,17.018504192,0.254273607874,20.850435845677,37.1973443031311,0,0.4690824468085106,18.733469343185423,0.9838362068965516,0.5236037234042553,0.5362367021276596,0.5465425531914894,0.5335771276595744,0.5615026595744681,0.5678191489361702,0.589095744680851,0.5608377659574468,0.5861037234042553,0
