model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen
eca_botnext26ts_256,10593301,25.435111424,4.815060992,0.179846656,4.044297728,0.037880421656,2.026602558586,23.5647361278534,0,0.8200604838709677,1.9407063245773315,0.9825913242009132,0.8346774193548387,0.8150201612903226,0.7842741935483871,0.842741935483871,0.8487903225806451,0.8261088709677419,0.8533266129032258,0.8523185483870968,0.842741935483871,1.0,Other,0,derma_pt,0.7334236554667758
cspresnet50,21616168,25.435111424,4.385144832,0.376710656,4.136752128,0.028991080526,1.536527267882,18.263043880462646,0,0.7973790322580645,1.47349214553833,0.9680319265143512,0.7918346774193549,0.8039314516129032,0.7928427419354839,0.748991935483871,0.8170362903225806,0.8382056451612904,0.8109879032258065,0.7817540322580645,0.8155241935483871,1.0,Other,1,derma_pt,0.732019631519945
ecaresnet50t,25573814,25.435111424,5.628755968,0.422544896,5.148889088,0.043893247683,2.216609007973,27.27744007110596,0,0.8014112903225806,2.093459057807922,0.9811643835616438,0.8125,0.828125,0.8215725806451613,0.8130040322580645,0.8568548387096774,0.8553427419354839,0.8568548387096774,0.8608870967741935,0.858366935483871,1.0,Other,1,derma_pt,0.7319507583881741
selecsls42b,32458248,25.435111424,2.71581184,0.550672384,2.488883712,0.024588758494,1.278615441698,15.459832668304443,0,0.7242943548387096,1.202447724342346,0.9610445205479452,0.7676411290322581,0.7595766129032258,0.7888104838709677,0.7767137096774194,0.7716733870967742,0.7963709677419355,0.7494959677419355,0.733366935483871,0.8024193548387096,1.0,CNN,0,derma_pt,0.7316324931400939
gcresnext50ts,15667320,25.435111424,6.828326912,0.260716032,6.073332736,0.046422512776,2.367548151599,28.93301033973694,0,0.827116935483871,2.756994891166687,0.9912956621004566,0.8432459677419355,0.8371975806451613,0.828125,0.8462701612903226,0.8503024193548387,0.8175403225806451,0.8523185483870968,0.8356854838709677,0.8649193548387096,1.0,Other,0,derma_pt,0.7313317548076993
adv_inception_v3,23834568,25.435111424,3.015704576,0.39816192,2.6130432,0.028163234003,1.492651402136,17.6819908618927,0,0.6875,1.261195182800293,0.961467999573712,0.7857862903225806,0.703125,0.7706653225806451,0.6471774193548387,0.795866935483871,0.7857862903225806,0.8059475806451613,0.8074596774193549,0.811491935483871,1.0,CNN,0,derma_pt,0.7305362479524301
mobilevit_s,5578632,25.435111424,6.744440832,0.122594304,6.263985152,0.036835799683,2.154894281432,23.129732131958008,0,0.7752016129032258,1.7554398775100708,0.9760181909282458,0.8230846774193549,0.8009072580645161,0.8452620967741935,0.8382056451612904,0.8392137096774194,0.8724798387096774,0.8397177419354839,0.8361895161290323,0.8361895161290323,1.0,Other,1,derma_pt,0.7303337445644056
resnetv2_50,25549352,25.435111424,4.198498304,0.40661248,3.596408832,0.034066465916,1.686290062842,21.299582719802856,0,0.7268145161290323,1.725864577293396,0.9785912872449448,0.7817540322580645,0.8185483870967742,0.8170362903225806,0.7903225806451613,0.8140120967741935,0.8276209677419355,0.8235887096774194,0.8049395161290323,0.8276209677419355,1.0,CNN,0,derma_pt,0.7297956187982579
densenetblur121d,7998088,25.435111424,6.83671552,0.154417152,6.432128,0.043679905148,2.336874925429,27.716952085494995,0,0.7817540322580645,2.0600048065185548,0.9780251141552512,0.8150201612903226,0.7807459677419355,0.8296370967741935,0.8145161290322581,0.842741935483871,0.8205645161290323,0.8306451612903226,0.842741935483871,0.8523185483870968,1.0,CNN,0,derma_pt,0.7273137812563787
gcresnet33ts,19880698,25.435111424,5.165285376,0.349002752,4.5069184,0.033350465151,1.734224187837,20.626607418060303,0,0.8029233870967742,1.5595434665679933,0.9858732876712328,0.8079637096774194,0.8200604838709677,0.8014112903225806,0.7888104838709677,0.8316532258064516,0.8079637096774194,0.8377016129032258,0.8029233870967742,0.8210685483870968,1.0,Other,0,derma_pt,0.7258208660383136
lambda_resnet26rpt_256,10988688,25.435111424,6.757023744,0.188609024,5.973276672,0.034367858566,1.821496503992,21.47546362876892,0,0.7767137096774194,1.7516949892044067,0.9788812785388128,0.7807459677419355,0.7872983870967742,0.7676411290322581,0.8079637096774194,0.8457661290322581,0.8467741935483871,0.8422379032258065,0.8371975806451613,0.8235887096774194,1.0,Other,0,derma_pt,0.7254813083939617
edgenext_base,18511292,25.435111424,4.78150656,0.336878592,4.333129728,0.050626085939,2.657869511812,32.63844966888428,0,0.7560483870967742,2.242078924179077,0.9868721461187214,0.7832661290322581,0.7938508064516129,0.860383064516129,0.8452620967741935,0.8714717741935484,0.8664314516129032,0.8276209677419355,0.860383064516129,0.8659274193548387,1.0,Other,1,derma_pt,0.722085340148627
ecaresnet50d,25576350,25.435111424,5.6623104,0.422583808,5.182472704,0.044063297603,2.247228177764,27.371410369873047,0,0.7867943548387096,2.0997403144836424,0.9696061643835616,0.813508064516129,0.7636088709677419,0.8029233870967742,0.7898185483870968,0.8215725806451613,0.8356854838709677,0.828125,0.8341733870967742,0.8457661290322581,1.0,Other,1,derma_pt,0.720794475258645
cspdarknet53,27642184,25.435111424,6.828326912,0.477188608,5.62173696,0.043080347814,2.261718260229,26.98320198059082,0,0.8125,2.127803778648377,0.9871575342465754,0.8346774193548387,0.7933467741935484,0.8190524193548387,0.8402217741935484,0.8432459677419355,0.8235887096774194,0.7253024193548387,0.8417338709677419,0.842741935483871,1.0,Other,1,derma_pt,0.7205923685861121
resnet51q,35696920,25.435111424,7.1827456,0.59245824,6.17425408,0.049378806306,2.64176613737,30.689611673355103,0,0.8286290322580645,2.7516950368881226,0.9888652598476846,0.8573588709677419,0.8523185483870968,0.8225806451612904,0.8220766129032258,0.8487903225806451,0.8568548387096774,0.8669354838709677,0.8568548387096774,0.8598790322580645,1.0,CNN,0,derma_pt,0.719988258291912
gcresnet50t,25897080,25.435111424,4.86539264,0.428586496,4.188853248,0.038557222876,1.966418366666,24.10516858100891,0,0.8150201612903226,1.8936902284622192,0.9835809763163736,0.8205645161290323,0.8276209677419355,0.8382056451612904,0.8321572580645161,0.8452620967741935,0.8664314516129032,0.8588709677419355,0.8613911290322581,0.8276209677419355,1.0,Other,0,derma_pt,0.7185986926603327
resnet61q,36846968,25.435111424,7.574913024,0.612112896,6.56817664,0.050598702658,2.782928646174,31.36610651016236,0,0.8225806451612904,2.3380367755889893,0.9860021725092848,0.8261088709677419,0.8180443548387096,0.8356854838709677,0.8215725806451613,0.8674395161290323,0.8523185483870968,0.8568548387096774,0.8588709677419355,0.858366935483871,1.0,CNN,0,derma_pt,0.7158450716712883
dla34,15742104,25.435111424,2.95698432,0.275754496,2.290753024,0.026196202847,1.336006345194,16.586004972457886,0,0.7565524193548387,1.260555672645569,0.9634703196347032,0.8210685483870968,0.7731854838709677,0.7167338709677419,0.5897177419354839,0.7807459677419355,0.797883064516129,0.765625,0.8024193548387096,0.7872983870967742,1.0,CNN,0,derma_pt,0.7137293651914945
gluon_inception_v3,23834568,25.435111424,3.015704576,0.39816192,2.6130432,0.028147600512,1.463675226619,17.68065857887268,0,0.7731854838709677,1.259000039100647,0.9626095520851274,0.7555443548387096,0.7691532258064516,0.7933467741935484,0.7872983870967742,0.8069556451612904,0.8054435483870968,0.7998991935483871,0.7888104838709677,0.7908266129032258,1.0,CNN,0,derma_pt,0.7119719573595162
