model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen,conv_idx,best_test,energy_conv,time_conv,co2_conv,E_n,pepr_e,C_n,pepr_c,T_n,pepr_t,pepr_m,cnn,pepr_t`
resnet14t,10081632,25.435111424,2.512388096,0.173164032,2.127376384,0.018551189416,0.983213039038,11.6104159355164,0,0.798891129032258,0.870490217208862,0.985730593607306,0.790322580645161,0.758064516129032,0.789314516129032,0.807963709677419,0.844254032258064,0.846774193548387,0.815020161290323,0.819556451612903,0.814012096774193,1,CNN,0,derma_pt,0.7586352942868944,7,0.846774193548387,2.6501699165714285,1.6586308479309142,0.1404590055768571,0.0062260648157761,0.8415347436894489,0.004794923913597112,0.842733351249694,0.005930732770285081,0.8370963674120936,0.8108364035741558,True,0.8417818105789565
seresnext26ts,10388064,25.435111424,4.829741056,0.17604352,4.012693504,0.030692617803,1.626708743564,19.324321269989,0,0.820060483870968,1.82805914878845,0.992865296803653,0.824092741935484,0.817540322580645,0.763608870967742,0.8125,0.790826612903226,0.850806451612903,0.838709677419355,0.852318548387097,0.84375,1,Other,0,derma_pt,0.752831028537156,9,0.852318548387097,3.410290867,2.147146807776556,0.1807454159515555,0.009229691359339515,0.8445238538702744,0.0071692322600513106,0.8462515743005026,0.009061284037934015,0.8396517631060059,0.7391177162430983,False,0.8446648007110096
gcresnext26ts,10476600,25.435111424,4.716494848,0.177501696,4.017281024,0.031087040958,1.663156691269,19.5462837219238,0,0.781754032258065,1.85363683700562,0.980579798080061,0.826108870967742,0.816532258064516,0.841733870967742,0.828629032258064,0.841229838709677,0.838709677419355,0.841733870967742,0.837197580645161,0.823588709677419,1,Other,0,derma_pt,0.7338260739773529,4,0.841733870967742,7.7717602395,4.88657093048095,0.41578917281725,0.02646408697597618,0.8200324606071115,0.021021703813552128,0.8244035046697208,0.026616304477123084,0.8133870658240728,0.7333210907787442,False,0.8199108735141846
eca_botnext26ts_256,10593301,25.435111424,4.815060992,0.179846656,4.044297728,0.037880421656,2.026602558586,23.5647361278534,0,0.820060483870968,1.94070632457733,0.982591324200913,0.834677419354839,0.815020161290323,0.784274193548387,0.842741935483871,0.848790322580645,0.826108870967742,0.853326612903226,0.852318548387097,0.842741935483871,1,Other,0,derma_pt,0.7334236554667758,8,0.853326612903226,4.735052707,2.945592015981675,0.25332531982325,0.014464502772286914,0.8411596567167112,0.011446780692503275,0.8436693152742867,0.014177951381790196,0.8359010581559123,0.7404345868563759,False,0.8413973225710453
bat_resnext26ts,10731200,25.435111424,5.226102784,0.182175232,4.521063424,0.036687131997,1.944417995856,22.7344083786011,0,0.81804435483871,2.09345095157623,0.990439497716895,0.819556451612903,0.831653225806452,0.843245967741935,0.835685483870968,0.855342741935484,0.817036290322581,0.852822580645161,0.863407258064516,0.848790322580645,1,Other,0,derma_pt,0.7417183383401647,9,0.863407258064516,4.076347999666667,2.526045375400122,0.216046443984,0.011861623661796602,0.8532859018211963,0.009249723540269377,0.8554941734696109,0.01148937541811966,0.8482911665605841,0.7368390258997252,False,0.8535999280344484
lambda_resnet26rpt_256,10988688,25.435111424,6.757023744,0.188609024,5.973276672,0.034367858566,1.821496503992,21.4754636287689,0,0.776713709677419,1.75169498920441,0.978881278538813,0.780745967741936,0.787298387096774,0.767641129032258,0.807963709677419,0.845766129032258,0.846774193548387,0.842237903225806,0.837197580645161,0.823588709677419,1,Other,0,derma_pt,0.7254813083939614,7,0.846774193548387,4.909694080857142,3.067923375538414,0.2602137862845714,0.015154600138799356,0.834133237866045,0.011852757379462139,0.8368551524644727,0.014961886041477822,0.8287659092118043,0.6808662696679159,False,0.834291617442847
resnet18d,11708744,25.435111424,1.728053248,0.199392256,1.464306688,0.020417613515,1.122968743314,12.5149028301239,0,0.658909574468085,1.0893670797348,0.979093309859155,0.672872340425532,0.650265957446808,0.654255319148936,0.668218085106383,0.656582446808511,0.684840425531915,0.671542553191489,0.678523936170213,0.668882978723404,1,CNN,0,derma_pt,0.6191415769732301,7,0.684840425531915,2.9168019307142856,1.7878432614462714,0.1604241061877143,0.007279664239120133,0.6798910469906393,0.005971581366501563,0.6807751215015784,0.006758763209770196,0.6763899912007016,0.6797521595879884,True,0.6802428253502278
halonet26t,12480288,25.435111424,3.745513472,0.20950784,3.038918656,0.028246463532,1.497062567206,17.5580914020538,0,0.727318548387097,1.37558934688568,0.915943990015004,0.766129032258065,0.776209677419355,0.761088709677419,0.790322580645161,0.725806451612903,0.780745967741936,0.766633064516129,0.801915322580645,0.781754032258065,1,Other,0,derma_pt,0.703557620438193,9,0.801915322580645,3.138495948,1.9508990446726449,0.1663402852451111,0.00815569065898547,0.7954280574029885,0.00632025560142215,0.7968788445994108,0.0078036717303395205,0.7911010816588102,0.7275351863248404,False,0.795705894982307
botnet26t_256,12488672,25.435111424,3.81681664,0.211342848,3.050554368,0.027223011311,1.442819599473,17.0697929859161,0,0.774193548387097,1.3529803276062,0.971461187214612,0.829637096774193,0.806451612903226,0.842237903225806,0.804939516129032,0.828629032258064,0.831149193548387,0.832661290322581,0.83366935483871,0.83820564516129,1,Other,0,derma_pt,0.7571065111430745,4,0.842237903225806,6.805752827749999,4.267448246479025,0.36070489986825,0.02264689774895204,0.8235862300856123,0.01777527287555742,0.8275283608003178,0.022648787624971814,0.817402404449537,0.7618032455636178,False,0.8235847080812982
dpn68,12611602,25.435111424,4.496293888,0.22129664,4.234037248,0.042639517645,2.259894435192,26.8967339992523,0,0.725302419354839,1.84841840267181,0.95718257448989,0.749495967741936,0.779233870967742,0.761592741935484,0.752520161290323,0.760584677419355,0.790322580645161,0.782762096774194,0.776209677419355,0.78125,1,CNN,0,derma_pt,0.6690055058239874,7,0.790322580645161,6.091359663571429,3.842390571321757,0.3228420621702857,0.019823965070597124,0.7749598045486714,0.01554379951442676,0.7782259918509146,0.019924895361128587,0.7693076273765643,0.6947913378898882,True,0.7748831156487542
